NIK,Nama,TTL,Status Hubungan,Status Perkawinan,Gaji,Jenis Pekerjaan,Agama,Jenis Makanan,Kode Rumah,Luas Rumah,age
3359990000000000.0,Pak Sutajo,"jember, 28 07 1933",Kepala Keluarga,kawin,3000000,Pensiunan,Islam,rawon,A1,280,90
3357030000000000.0,Bu Sutajo,"jember, 12 07 1940",Istri,kawin,0,Tidak Bekerja,Islam,rawon,A1,280,83
3356440000000000.0,Pak Jais,"jember, 01 07 1963",Kepala Keluarga,kawin,3000000,Pensiunan,Islam,bakso,B1,240,60
3355550000000000.0,Bu Jais,"jember, 15 03 1966",Istri,kawin,0,Tidak Bekerja,Islam,bakso,B1,240,57
3354210000000000.0,Pak Pardi,"jember, 14 12 1965",Kepala Keluarga,kawin,3000000,Pensiunan,Islam,rawon,B2,240,58
3354390000000000.0,Bu Pardi,"Pemalang, 07 08 1966",Istri,kawin,0,Tidak Bekerja,Islam,rawon,B2,240,57
3352830000000000.0,Pak Udin,"jember, 11 09 1968",Kepala Keluarga,kawin,3000000,Pensiunan,Islam,ayam bakar,B3,260,55
3359840000000000.0,Bu Udin,"jember, 09 09 1968",Istri,kawin,3000000,Pensiunan,Islam,ayam bakar,B3,260,55
3356070000000000.0,Pak Suprapto,"jember, 21 02 1975",Kepala Keluarga,kawin,2789583,PNS,Islam,bakso,C1,200,48
3352750000000000.0,Bu Suprapto,"jember, 22 04 1977",Istri,kawin,6430981,Swasta,Islam,bakso,C1,200,46
3356810000000000.0,Pak Fahmi,"jember, 14 08 1978",Kepala Keluarga,kawin,2727962,Swasta,Islam,opor,C2,240,45
3356720000000000.0,Bu Fahmi,"semarang, 28 06 1978",Istri,kawin,12574754,BUMN,Islam,opor,C2,240,45
3356560000000000.0,Pak Karno,"jember, 10 04 1979",Kepala Keluarga,kawin,687021,Swasta,Islam,opor,C3,120,44
3352870000000000.0,Bu Karno,"jember, 06 03 1980",Istri,kawin,0,Tidak Bekerja,Islam,opor,C3,120,43
3354250000000000.0,Pak Qodri,"jember, 11 09 1980",Kepala Keluarga,kawin,6166126,BUMN,Islam,bakso,C4,200,43
3358110000000000.0,Bu Qodri,"Jakarta, 11 04 1986",Istri,kawin,9489851,Swasta,Islam,bakso,C4,200,37
3356700000000000.0,Pak Joko,"Malang, 07 06 1980",Kepala Keluarga,kawin,6548181,BUMN,Islam,rawon,C5,240,43
3356000000000000.0,Bu Joko,"jember, 06 08 1983",Istri,kawin,3766594,PNS,Islam,rawon,C5,240,40
3354390000000000.0,Pak Parjo,"Jember, 12 07 1979",Kepala Keluarga,kawin,2833458,PNS,Islam,ayam bakar,C6,180,44
3353890000000000.0,Bu Parjo,"jember, 06 08 1983",Istri,kawin,0,Tidak Bekerja,Islam,ayam bakar,C6,180,40
3359850000000000.0,Pak Hari,"Jember, 08 09 1984",Kepala Keluarga,kawin,624887,PNS,Islam,opor,C7,200,39
